f1_log_ret,f2_gap_ret,f3_parkinson,f4_vol_z,f6_rsi_14,f7_macd_hist,f8_bb_width,f5_rel_ret
-0.445226443123624,0.03452353278305131,0.4081595853432766,-0.0914704586190749,-0.3317843561611895,0.2579175946556314,-0.2642795540575649,-0.45272543612743427
-1.2877348457908486,-1.452406763433827,0.3411455477290541,0.08642684478139244,-0.7202164510440678,0.12041926065308735,-0.299871277611561,-0.8047760737403769
0.1283462620633405,-0.10227456301605406,0.48713223735687405,0.3906631514383093,-0.6483500156413808,0.044704707766130725,-0.31567861625077437,0.4446812196037921
-0.08178203834698111,0.5103790398830396,-0.477818126072537,-0.6656887150415112,-0.6620156683810122,-0.0036648660023365443,-0.30749925896836067,-0.4667140425453959
-0.08185136861298771,0.45023650678537414,-0.7038085430247816,-0.4394859730280645,-0.6765388969268731,-0.032410394611417995,-0.2994538017132977,-0.630070110762898
-0.589298003162372,-0.595324474659093,-0.4522034141111879,0.08331815658260046,-0.8478947132445719,-0.08360522386690176,-0.28172812190932117,-0.37224464809425856
-0.6705211854177056,-1.1848140082267908,-0.38589040812673703,0.6177143674043648,-1.0215397514797688,-0.15095189516642402,-0.23250169919477726,-0.4653569741965097
0.25625453190868824,0.24559949600485786,-0.10910598176655643,0.06966013859566432,-0.8675874972140956,-0.15975985378956234,-0.21340270066500508,0.3738882195795157
-1.7338936990253473,-5.946649115906092,0.7226317303917589,2.3232674145805703,-1.2622306435094643,-0.26700017069005905,-0.08205094953726173,-1.6666901911754564
-0.16049796884027356,0.4824039041347511,-0.22829908479761257,0.2937123184977396,-1.2858452653545633,-0.32245205991811643,-0.005924039684554671,0.12559223616192622
0.14543578103070012,-0.4722332926975432,-0.4122221542222962,-0.21242782872454866,-1.193088702181574,-0.3216779268887068,0.10709698296194983,-0.24236174837313554
-0.20879481838887873,0.16265738156889817,0.06429111968541407,0.1608307214573182,-1.2310186845802082,-0.3084102446731541,0.22401712407596194,-0.2818534284214429
0.6598193220765424,-0.8661896678928841,0.46689845392003504,0.07802738370359194,-0.868162727930099,-0.2296105483074111,0.2698326540242046,0.5620174272029749
0.7028909369722537,0.04189443364146222,0.19220471969853764,0.07723792190936143,-0.5209915346173175,-0.10930698067399167,0.2500117129468309,0.30332410151883793
-0.08396402956070378,-0.5033111290624975,-0.3909652993046613,-0.16174362245687693,-0.5367636841402467,-0.022862547738735448,0.23036649377946214,0.09177227242155635
0.7154142820387233,0.07248438268495802,0.056589064940996484,-0.3008787392092211,-0.19976773881291085,0.09367545975591972,0.17498855865101937,0.7064195431216151
-0.11675656324394434,-0.7353937293860461,-0.49995629868817243,-0.4662437526009873,-0.23159527093454485,0.16444074021120342,0.043400309355812496,0.30050303475430096
-0.9866307741504826,-0.054355731408681454,0.14922809671758713,-0.3293903368882962,-0.5721095233534111,0.14202167051290643,-0.0752081820521266,-0.6474475965554413
0.8036121128057953,0.43240601102636356,0.4614362549511766,-0.18610304472412698,-0.21323208071678193,0.18628794035567323,-0.19134491423694458,0.5861203544812691
-0.26432602208504213,-0.46880945917277506,-0.5485414409270379,-0.43146781271338963,-0.2959952617967317,0.19530685538938317,-0.3410035426621279,0.1221180465643332
0.9957430164049179,0.01901319479144324,0.24422144214115282,0.053868252821968464,0.10424269408525011,0.2705838923291291,-0.4409291420145917,0.6954846619033974
0.971115308716171,0.5723727083119863,0.2642829172254718,0.34583340229640747,0.4317501204704557,0.3835671581434014,-0.34926591172547705,0.6046946218508799
-0.010891461411643303,-0.11328607731406376,-0.5654338486722132,-0.23196771636475116,0.43958448190444377,0.4410862890956642,-0.2736970464549171,0.11765603310810178
0.2872787793131191,0.2823108386769191,-0.37071849506428545,-0.15474388833687694,0.542485965227034,0.48224348301879133,-0.172993751175381,0.003905520697173138
-0.5188366924690243,0.1889679306170315,-0.1661481869097306,-0.2681781175998368,0.30909282072658256,0.4491784731689338,-0.12297827364838078,-0.4618877810224637
-0.020153359568168383,-0.6601619332104267,-0.3151772387017569,-0.14425702754180275,0.31486178261881714,0.4077120714040992,-0.06605763341160696,0.12871420055730115
-0.1961102804677636,-0.0735022333795968,-0.4098608391067559,0.6859861991938075,0.23450736633713262,0.3490756617107131,-0.030586886003341893,-0.5337378350719642
-0.5102361076456098,-1.2728246136683963,-0.007329212643393277,2.0742452962858278,0.005908721092785625,0.2589149968502682,-0.01749340895160797,-0.5576872854163766
-1.4272434920523054,-5.959107062858642,0.5568176975284098,3.1311650881939883,-0.5197844766371332,0.08882434087250664,-0.08383058255737799,-1.8267146358076056
0.09131186959773577,-0.0873267147574035,-0.42138462842486585,0.5747318476517859,-0.46366352741773886,-0.014697714716806278,-0.1699258788283411,-0.020825738123743893
0.04658359827181527,0.4903790896445901,-0.5944404262176165,-0.021570770143833143,-0.4254561309159431,-0.07419262335216749,-0.25380823695712046,0.010551054612838817
-0.020552812066026584,-0.14800666179093694,-0.7204860254805094,-0.3305008679880301,-0.4177674899374984,-0.1075596075465231,-0.36692113152300565,-0.015379344242288264
0.9790924961808033,0.06991969808678389,0.24813687315789032,0.30218072004787544,0.04417439455079192,-0.05127307940231664,-0.43843938526075915,1.0859894911078123
0.6976636864769427,-0.36608074488878134,0.03647241717122791,0.49581246593171485,0.32458172730370083,0.03982830148034347,-0.4448967274430275,0.5730305083566137
-1.3778834551573054,-0.5084339490557872,0.8129797125939773,1.0682507277958873,-0.2193371002235067,-0.0037517836858378035,-0.48183108725840035,-1.468957343097647
-0.49373336793058925,-0.1083706841621305,-0.327038823637011,0.5400904356187121,-0.36991871164573276,-0.06416705224613854,-0.4690838422677976,-0.6106993120048071
-0.08624304969515627,0.1578986820294009,-0.5294380356855762,-0.17304414070454632,-0.38635268169848336,-0.10310362281962747,-0.4568470128394495,-0.05644130582326206
0.450184935367004,-0.020525215048601046,0.29447960531094214,0.45498513629997267,-0.18496195942171614,-0.0885915336204154,-0.515069984082981,0.5313678422479109
-0.5827768268081857,-0.18017732401175335,-0.3022772139218764,-0.23382075129095511,-0.3798375746653215,-0.11393820599013939,-0.5025613067565954,-0.510573290322553
-0.9104434936912246,-0.2886603924480535,0.08336496162941658,0.772141178253375,-0.6492351446521298,-0.18432104172436156,-0.4388567950001904,-1.1676657220495403
0.2912086043437164,-0.2568376196787572,-0.4250991650517517,-0.15928601742757728,-0.5092867131149169,-0.19654796214022136,-0.38709767186979493,0.4521677544265259
0.3812778480308025,-0.18971201922711153,-0.3576464156353433,-0.20555945302852988,-0.3333679768358342,-0.16479963111112594,-0.40416114960244165,0.5526181415974621
-0.2979311992729132,0.031864978733357634,-0.23161717462630718,-0.05648959716916615,-0.4233070589210552,-0.1536986804863602,-0.4247274923360235,-0.3452724474593235
-1.0334348917219123,-0.5333113770794122,0.3285849356307234,0.3976039667955519,-0.7268437810760738,-0.20518990505051268,-0.42870356936930093,-0.6583997190064699
-0.49063014756924506,0.06926508189141001,-0.11685710835780883,0.36039146722091076,-0.8462492838277434,-0.2553355314667812,-0.3802061473874431,-0.6481037129139426
