Date,Open,High,Low,Close,Volume
2014-01-02,149.44124914006906,149.51436277066628,148.22284562384073,148.5802459716797,119636900
2014-01-03,148.83204617236285,149.13259413200743,148.34469220637726,148.55587768554688,81390600
2014-01-06,149.04328015057538,149.1001325496372,147.89797760256857,148.1254119873047,108028200
2014-01-07,148.71832606402768,149.28691187687778,148.60460890145765,149.0351104736328,86144200
2014-01-08,149.01076216755573,149.31942838809132,148.5558934599723,149.067626953125,96582300
2014-01-09,149.54686757405145,149.56311642677383,148.48279701423454,149.16510009765625,90683400
2014-01-10,149.41689491892882,149.63621104111016,148.65335999997663,149.57122802734375,102026400
2014-01-13,149.18943527702504,149.60368797603826,147.29684715248146,147.58114624023438,149892000
2014-01-14,148.06850273923365,149.27066971961884,147.79233426843194,149.18943786621094,105016100
2014-01-15,149.5387835175219,150.22108675686403,149.2219989853812,149.99365234375,98525800
2014-01-16,149.68494310438396,149.9936093168865,149.31942450203445,149.7986602783203,72290600
2014-01-17,149.53874934481183,149.823036099116,148.9051804253141,149.16510009765625,107848700
2014-01-21,150.0260973834595,150.08296216859395,148.68585835213213,149.6037139892578,88621200
2014-01-22,149.85555078410871,149.920533808118,149.3844331557247,149.7012176513672,61270900
2014-01-23,148.94580330511948,148.97017039024533,147.68679592613515,148.4746856689453,132496900
2014-01-24,147.50809400952303,147.55682817921434,145.2581048195665,145.3068389892578,208677100
2014-01-27,145.44488013867925,145.8185293192535,143.86907634997013,144.5919952392578,180843100
2014-01-28,144.6976319200423,145.639867147958,144.68138306597643,145.4530487060547,110463200
2014-01-29,144.2427265976738,145.03062849785735,143.67414079193333,144.055908203125,216597300
2014-01-30,145.25812030920463,146.05414075228362,144.7951208592761,145.58302307128906,118938100
2014-01-31,143.77980981210408,145.63178315277594,143.7067085367679,144.73016357421875,194677900
2014-02-03,144.55952529087867,144.8844279564876,141.1967318854332,141.472900390625,254837100
2014-02-04,142.1065124864481,142.82943167241086,141.42420924460046,142.4639129638672,165012400
2014-02-05,141.96843274169984,142.60200182861263,141.09931100216417,142.28521728515625,164230500
2014-02-06,142.61823816344506,144.1615447998047,142.3258207340643,144.1615447998047,132877600
2014-02-07,144.83569691925305,146.10283469439105,144.36457936799155,145.94850158691406,170787200
2014-02-10,145.96475130247214,146.26529929037392,145.56674738530018,146.216552734375,92218800
