Date,Open,High,Low,Close,Volume
2014-01-02,149.4412337928573,149.51434741594596,148.22283040175572,148.58023071289062,119636900
2014-01-03,148.83210732098473,149.1326554041114,148.34475315476658,148.55593872070312,81390600
2014-01-06,149.04331085725755,149.10016326803242,147.89800807328947,148.1254425048828,108028200
2014-01-07,148.71837174309402,149.28695773058615,148.6046545455956,149.03515625,86144200
2014-01-08,149.01080792646061,149.31947424178284,148.55593907919405,149.0676727294922,96582300
2014-01-09,149.54680638268414,149.5630552287578,148.48273625826204,149.1650390625,90683400
2014-01-10,149.4169863771957,149.63630263362072,148.65345099088285,149.57131958007812,102026400
2014-01-13,149.18949697732162,149.60374984765738,147.2969080700601,147.58120727539062,149892000
2014-01-14,148.06856331580215,149.27073078800797,147.79239473201665,149.1894989013672,105016100
2014-01-15,149.538753092491,150.22105619301232,149.221968624803,149.99362182617188,98525800
2014-01-16,149.68494310438396,149.9936093168865,149.31942450203445,149.7986602783203,72290600
2014-01-17,149.5386881567663,149.82297479474644,148.90511949651136,149.1650390625,107848700
2014-01-21,150.02611268532942,150.0829774762638,148.68587351730477,149.60372924804688,88621200
2014-01-22,149.85558133314865,149.92056437040517,149.38446360872422,149.7012481689453,61270900
2014-01-23,148.9457573835016,148.9701244611148,147.686750392683,148.47463989257812,132496900
2014-01-24,147.5080785195784,147.55681268415208,145.25808956589506,145.30682373046875,208677100
2014-01-27,145.44492618506118,145.818575483929,143.8691218974685,144.592041015625,180843100
2014-01-28,144.6976015609586,145.6398365911834,144.68135271030187,145.45301818847656,110463200
2014-01-29,144.2427265976738,145.03062849785735,143.67414079193333,144.055908203125,216597300
2014-01-30,145.25810508446915,146.05412544411598,144.79510568306833,145.5830078125,118938100
2014-01-31,143.7797946535101,145.63176779892984,143.70669338588093,144.7301483154297,194677900
2014-02-03,144.55952529087867,144.8844279564876,141.1967318854332,141.472900390625,254837100
2014-02-04,142.1064972659389,142.82941637447243,141.42419409717027,142.46389770507812,165012400
2014-02-05,141.96834139279898,142.6019100720448,141.09922021249545,142.28512573242188,164230500
2014-02-06,142.61825325888273,144.16156005859375,142.32583579855105,144.16156005859375,132877600
2014-02-07,144.83566663436045,146.10280414454215,144.36454918160882,145.94847106933594,170787200
2014-02-10,145.96481223251894,146.26536034587843,145.56680814920827,146.21661376953125,92218800
2014-02-11,146.33840337420773,148.19037592236114,146.24092265455982,147.8167266845703,117814100
2014-02-12,148.0360492962704,148.50716688010547,147.59742941848927,147.8898468017578,94717700
2014-02-13,146.89074359882417,148.80769920360365,146.8826253696118,148.6533660888672,100542200
2014-02-14,148.51527095347518,149.74992338673053,148.37718670151617,149.4737548828125,96498400
2014-02-18,149.6037192623751,149.85553309853438,149.17321762408417,149.6524658203125,80460900
2014-02-19,149.26250896288195,150.22911080977983,148.53959023276948,148.66143798828125,126524300
2014-02-20,148.86452686407438,149.87986300333398,148.32030818074003,149.53871154785156,104998100
2014-02-21,149.82301746943162,150.18041781942404,149.29504756691475,149.36814880371094,118116400
2014-02-24,149.6849522798125,151.20389156640826,149.61996926297374,150.19668579101562,114063900
2014-02-25,150.31857758411027,150.74907938718093,149.6443924750521,150.13987731933594,117085000
2014-02-26,150.35913472440637,150.75715104831878,149.7255658131943,150.14794921875,98677200
2014-02-27,149.92863389191095,150.97645559090873,149.7580519252521,150.93585205078125,93880800
2014-02-28,150.91141625552774,152.01610232923056,150.31034527043542,151.3175506591797,150842000
2014-03-03,149.9854745075675,150.63529222374171,149.25443732327275,150.25352478027344,167748500
2014-03-04,151.7237788205431,152.69038128162487,151.69129350164152,152.365478515625,167545900
2014-03-05,152.49536077720367,152.7634109892596,152.2597958661973,152.50347900390625,88376900
2014-03-06,152.87719319966538,153.2020959253982,152.5279109949703,152.85281372070312,82516500
2014-03-07,153.4863839646564,153.4863839646564,152.24360076304183,152.91778564453125,114513500
