Date,f1_log_ret,f2_gap_ret,f3_parkinson,f4_vol_z,f6_rsi_14,f7_macd_hist,f8_bb_width,f5_rel_ret,anomaly_score_AT,prediction_AT,recon_close_AT,recon_log_ret_AT,anomaly_score_TranAD,prediction_TranAD,recon_close_TranAD,recon_log_ret_TranAD
2015-01-02,0.0512375988360666,0.1722324645170181,-0.2584676070356175,-0.4501255120607303,-0.4962027259400842,-0.0366146231060127,-0.7057443546378471,0.1338515811823423,,,,,,,,
2015-01-05,-0.6709364221833758,-0.1064646376334611,-0.2050146511590618,0.3623234697807724,-0.7976385959536424,-0.0480861243807277,-0.713278002960193,-0.0063684374873447,,,,,,,,
2015-01-06,-1.143522191425038,-0.0004485958215521,0.2617987926154245,0.3449883287987415,-1.2163444762167082,-0.0699750489576752,-0.666892255444726,-0.9552960822364328,,,,,,,,
2015-01-07,-0.1752536851400729,0.4022661589531229,-0.3383591240614324,1.4357755943654242,-1.2468165309349843,-0.0823055534155087,-0.6066534001584246,-0.688496887883456,,,,,,,,
2015-01-08,1.1833259153816205,0.6934551198171983,0.151396270295799,1.049463687396664,-0.5319695983259358,-0.0671058172720166,-0.6348670856619045,0.7585069509318559,,,,,,,,
2015-01-09,0.0525418810153332,0.139782045049284,-0.3449291963711331,0.3770883975469903,-0.4646454365740733,-0.0525559758746832,-0.6363321342388881,0.4520192000710953,,,,,,,,
2015-01-12,-0.5191373623680995,0.068816080489104,-0.1937400173633006,0.1822346541602292,-0.6572199586595335,-0.0479703772440606,-0.6278619327290612,-0.2568606742798408,,,,,,,,
2015-01-13,-0.137996310617374,0.4246888807484384,0.3509049009533928,0.6621897479745036,-0.680129170930285,-0.0438659556238225,-0.6300052660187628,-0.0020786858961962,,,,,,,,
2015-01-14,0.0539486407494458,-0.8581065620366756,-0.4034801636108349,-0.0730478350167998,-0.6009287852907278,-0.0372446780942583,-0.6420907953243398,0.3698360949277892,,,,,,,,
2015-01-15,-0.3301620119207938,0.3881758654990579,-0.3889674983400839,0.2511385741459643,-0.7187822733330035,-0.0352601821247619,-0.6690318004518627,0.0313635167521196,,,,,,,,
2015-01-16,0.5398253638477415,-0.2136860280585194,-0.241471824708768,0.2630625279724938,-0.364452954934639,-0.0227708864721083,-0.6686732046447188,0.1614262898568468,,,,,,,,
2015-01-20,0.017534956363024,0.3827085688587862,-0.3270034440746573,-0.1348356866438491,-0.3091417077991104,-0.0124066252247511,-0.6712631812587937,-0.0198381233812368,,,,,,,,
