Date,f1_log_ret,f2_gap_ret,f3_parkinson,f4_vol_z,f6_rsi_14,f7_macd_hist,f8_bb_width,f5_rel_ret,anomaly_score_AT,prediction_AT,recon_close_AT,recon_log_ret_AT,anomaly_score_TranAD,prediction_TranAD,recon_close_TranAD,recon_log_ret_TranAD
2015-01-02,0.0651887417866952,1.045782154679656,0.65403679511208,0.0023072145248713,-0.1062394221741551,-0.4395382617633852,-0.4960219669124681,0.1806378554471257,,,,,,,,
2015-01-05,-0.5985328961654639,-0.4837090837601108,-0.4215403406857658,0.593868653382497,-0.3382287020328263,-0.5519586127275066,-0.4857280869477879,0.5033488394986562,,,,,,,,
2015-01-06,-0.9724100606174026,0.3435446850646809,0.5415004664927974,0.4285017909187488,-0.6701303800977126,-0.7241098640481477,-0.4359126380749997,-0.6812471203441461,,,,,,,,
2015-01-07,1.0072963225509983,1.0185556498205357,0.1938866993921607,0.2169262816876595,-0.2169148756829624,-0.6731331422793481,-0.4394609535603836,0.6120096321870764,,,,,,,,
2015-01-08,0.8908071927514958,0.9687640507047576,0.0295894686366353,0.4807173594338373,0.1282560754758659,-0.4959108690076292,-0.4445818005132449,0.0622815241533134,,,,,,,,
2015-01-09,0.0641285940509801,0.1958770578793019,-0.0357373794493528,-0.1090781191548711,0.162474213530811,-0.3541408334560737,-0.4431497031817095,0.7271431027577926,,,,,,,,
2015-01-12,-0.2494300207284313,0.3633780451112129,0.0906787978253997,0.3206320707647699,0.068190272497947,-0.282042668586339,-0.4441394196952433,0.2565247935539813,,,,,,,,
2015-01-13,-0.1680968975573363,0.7294143918630682,0.9396020474855036,0.453901210266176,0.0077156877855884,-0.2461748496645935,-0.4497125352146352,0.0068914628323447,,,,,,,,
2015-01-14,-0.2372246882469653,-0.5103474648886255,0.565735386385906,0.6275764783907087,-0.0852641400225283,-0.2432544867201764,-0.4701355245716307,0.1423442744183292,,,,,,,,
2015-01-15,-0.2519139097891518,0.4807694106738444,0.2594887736232431,1.3897895342815292,-0.1854823943611426,-0.2624167352147677,-0.5216329137963386,0.3505982425497524,,,,,,,,
2015-01-16,0.3269315173404312,-0.2284939446748446,0.890881369301116,2.051325481849097,-0.0127178592164584,-0.2194217127454364,-0.5284495542152347,-0.4273711557023991,,,,,,,,
2015-01-20,-0.5277912137373749,-1.0241596797146073,0.3624989504572019,0.5119131171133348,-0.2467902247719146,-0.2491881898943809,-0.5229852474844604,-0.8787482966440228,,,,,,,,
2015-01-21,0.5065079688776959,-0.717091649748302,0.392681175387594,0.1563305692627096,0.0136173372746128,-0.189538958817246,-0.5250370211824456,0.4178659585809038,,,,,,,,
2015-01-22,0.5550526900000666,0.19723249518836,0.2742585329725017,0.4796379985309957,0.2729767640754858,-0.0695062228327985,-0.542076806335181,-0.2210991495732528,,,,,,,,
2015-01-23,-0.6586226946256314,0.1108578234379503,-0.1544604378153203,0.1247668542530203,-0.03781743063774,-0.0755876994981423,-0.5898481071776114,-0.5129697807826926,,,,,,,,
2015-01-26,-0.9174340261579562,-0.7672799344786885,0.0378848178106876,0.3259017081564532,-0.4097943486302685,-0.1921909018851967,-0.6208460412608399,-1.462232500028518,,,,,,,,
2015-01-27,-2.347217621231146,-4.172728038892076,1.0685505992587672,2.1871979893977485,-1.0807265964562682,-0.5452941620707915,-0.4270307128604984,-2.408133956778985,,,,,,,,
2015-01-28,-0.6347726793130972,0.8126004096319871,0.6529652316159917,0.3763905990187334,-1.2096338568756888,-0.8124456897419413,-0.2017441369202358,0.0624688168323853,,,,,,,,
2015-01-29,0.6016024431788001,0.1542939543277035,0.3254632597265878,-0.1280490764786628,-0.9306884863749568,-0.8610223638771598,-0.0874046839176801,0.2525752595606207,,,,,,,,
2015-01-30,-1.772149341915418,-1.5782468444349294,0.7201545315756027,0.5844510428343999,-1.28835465115704,-1.0517758694441162,0.1882011275230286,-1.6148318352684374,,,,,,,,
2015-02-02,0.8839990449274971,0.0336185003251028,0.9841447837758112,0.5277252655676155,-0.93003131038744,-1.003772768393146,0.3118555935343938,0.4377412766985539,,,,,,,,
2015-02-03,0.0430808833712821,0.3690031058407886,1.727807277609379,0.2687319382725576,-0.9012662298672434,-0.9056748097409344,0.4156558650834192,-0.9383240116107092,,,,,,,,
2015-02-04,0.1776704884338785,0.6166272355306357,-0.2742521699754919,-0.6829505226238287,-0.8164617417972123,-0.7631850512771184,0.4923349426348579,0.5840476920873116,,,,,,,,
2015-02-05,0.4724825553434251,0.2165479981375665,-0.2795340564662492,-1.0097884685504324,-0.6112474388995225,-0.5629519500011897,0.5288612019582688,0.002705607574746,,,,,,,,
2015-02-06,-0.9836065999342152,-0.0896172661937718,0.4293968711666557,-0.2395544090149071,-0.8592093374220834,-0.5107665717087885,0.5689760321493308,-1.1860741350213106,,,,,,,,
2015-02-09,-0.5901846391668407,-0.9623371127762124,-0.1848925591432548,-0.331966041622533,-0.9902658708318716,-0.5047969753078496,0.6113937907505563,-0.4869792393730809,,,,,,,,
2015-02-10,1.1251301628814814,0.8135938874243788,0.041645347779106,-0.9838108927941034,-0.5341563237498491,-0.3234836484064439,0.580818470186864,0.9143040090200496,,,,,,,,
2015-02-11,-0.2544061442804892,-0.1206981886741425,-0.4932698112987056,-1.019015027895658,-0.5950681977914647,-0.2053510508065247,0.547373772831897,-0.3668970868113725,,,,,,,,
2015-02-12,0.8262928132949177,1.285021188414194,-0.6570254343422155,-0.7925996293197692,-0.2760336356298399,-0.0022644463453517,0.4866444343542409,0.5532995819350505,,,,,,,,
2015-02-13,0.3047794702290721,0.3332526588003837,-0.5540610844737094,-0.8384374650526161,-0.1565230144103232,0.1808772845474141,0.4246712386034273,0.1912632669385688,,,,,,,,
2015-02-17,0.5190417950588401,0.0912590431660371,-0.4133850368243232,-0.7479926744612234,0.0357501878842152,0.3682302714049201,0.3301807021797944,0.6888831477030931,,,,,,,,
2015-02-18,-0.7126768164877243,-0.2963928454081636,-0.3474357378413089,-0.605321007265154,-0.2027030450712122,0.3957447296188612,0.2551559189833401,-0.9999384225544792,,,,,,,,
2015-02-19,-0.1188831603554323,-0.0890098084817758,-0.6638488488716545,-1.2563322899007503,-0.2326980316291418,0.3938734514452454,0.1157523094563748,-0.0747654072616468,,,,,,,,
2015-02-20,0.2604204342026902,-0.2098503064029223,-0.0387917094281051,-0.3392460478181291,-0.1184602588344122,0.4191467619997309,-0.1410129953969708,-0.0102306101351052,,,,,,,,
2015-02-23,-0.9852867931409898,-0.05877053238322,0.5334002847864701,0.0683071692033087,-0.4509713582711792,0.3073365887556279,-0.3893326134922124,-1.3802024074508896,,,,,,,,
2015-02-24,0.9228601683983638,-0.4881400713207881,0.6660356659116827,0.4242810496539612,-0.0856279400926092,0.3468076447965537,-0.5526736773679929,1.185528062252599,,,,,,,,
2015-02-25,-0.7045278624198319,-1.174375406724809,-0.5481702417481803,0.11711454067194,-0.3136068646068614,0.2800016110856311,-0.5526148064539302,-0.9190287167021004,,,,,,,,
2015-02-26,-0.4752534848829245,-1.0364196864930362,-0.4746418825655525,0.326493486119088,-0.4542721786989286,0.1779565651497724,-0.5563524036490127,-0.560440194885347,,,,,,,,
2015-02-27,-0.6294599906286279,-0.0900989875251845,-0.5120175211921573,0.1689277038418718,-0.6332497777659486,0.0408565720815875,-0.5352788211532176,-0.622630855006582,,,,,,,,
2015-03-02,1.1729142762714195,0.09524209983288,0.7556305246646426,0.3994264444215394,-0.1721979541449072,0.1048498792095149,-0.6081808171091572,1.2980009318441124,,,,,,,,
2015-03-03,0.0274931565437403,-0.3625037639870856,-0.4455693953725184,0.8500984286479909,-0.1509584181731407,0.1537570734240669,-0.6213261268694911,0.3866761094224696,,,,,,,,
2015-03-04,-0.0018750339763174,-0.7573827896113031,0.0335229345119428,0.2375683626500062,-0.1396358014896182,0.1866671876148294,-0.6340012083628246,0.3520449738923656,,,,,,,,
2015-03-05,-0.606333821530488,0.3936427890384231,0.5114271724204105,-0.0796977292708716,-0.3501716648550834,0.1341416291687351,-0.6395465576883441,-0.9176587559102152,,,,,,,,
2015-03-06,-0.8386305649935294,-0.6115304416309235,-0.1348188491671644,1.8671773358734105,-0.6141390758069522,0.0036731570261149,-0.598487420372928,-0.1431330707561588,,,,,,,,
2015-03-09,-0.744718645657385,0.0022996984847656,0.3121933205990568,1.861646869249716,-0.8196286676364227,-0.1563766885599063,-0.525752608416034,-1.3415118927150684,,,,,,,,
2015-03-10,-1.615589888442349,-1.5533032138318807,0.6404861083303433,3.172401349112157,-1.1896140815852554,-0.4244743214404509,-0.3029459833548969,-1.1164988017561817,,,,,,,,
2015-03-11,0.9532944832646116,0.8461391479637216,0.8355639672505523,2.4565942602264275,-0.7869862215832276,-0.4507450204597419,-0.198307549013759,1.6079716621696425,,,,,,,,
2015-03-12,-2.456652334241501,-4.329099183753115,0.9601878149683792,3.664407133016557,-1.2577272709292728,-0.7087411930945814,0.1427572922975121,-4.458476831232065,,,,,,,,
2015-03-13,0.1795109374251917,-0.5997289560378306,0.0305559229249518,0.9269503994541144,-1.1809668021761826,-0.8005212129781543,0.3623890052537649,0.7571478061215889,,,,,,,,
2015-03-16,-0.1932204979971568,-0.028779397382576,-0.3620469421176722,0.2325932545669952,-1.209656007691605,-0.8226073747503625,0.5313999238608123,-1.2037138423599272,,,,,,,,
2015-03-17,-0.422191807320583,-0.8687167614126589,-0.6889338138820703,0.034907635147419,-1.2800207512906532,-0.8230323386116642,0.6570258528707539,-0.3520705522914539,,,,,,,,
2015-03-18,0.4570132474048451,-0.6376278377440489,0.6988665372652354,0.4752708956069531,-1.0789567117673229,-0.7116321533595427,0.7372504787105619,-0.1588878190659847,,,,,,,,
2015-03-19,-0.2747149506048651,-0.3967378910260311,-0.4820409728963287,-0.1447137333508768,-1.1295827782162982,-0.6147556848974624,0.806091755739046,-0.0206163398093388,,,,,,,,
2015-03-20,0.8879285698286367,0.8067503977799979,0.1669118787592315,1.4742544944500686,-0.7511823268131446,-0.4021758984954512,0.7785573971503869,0.700341387979613,,,,,,,,
2015-03-23,-0.2072819467701916,-0.0946938473353053,-0.0788411860122123,-0.1376784727320595,-0.7956996268176938,-0.2487642480647079,0.7878112695361108,-0.1135210019542094,,,,,,,,
2015-03-24,-0.6929902622745099,-0.1611190807167626,-0.0819082296125851,-0.1906494619252993,-0.9587389049989016,-0.1935327266707878,0.7472440642966275,-0.5530693420652243,,,,,,,,
2015-03-25,-1.515353026111446,0.0382017996283864,1.0415062368757342,0.2017709436425279,-1.2661626015665968,-0.2898351833119077,0.8091871181735725,-1.0865033497051664,,,,,,,,
2015-03-26,0.2857942103341663,-1.3836418284868757,1.2334973107228318,0.5181024143376268,-1.1332610347314274,-0.2808596616780611,0.8374639588637189,0.6373107044743951,,,,,,,,
2015-03-27,3.064293715313448,-0.2691594653185481,5.943170305679949,1.6436336929605957,-0.0883965456349231,0.1030810778608597,0.7874492851257531,4.348954121405485,,,,,,,,
2015-03-30,-0.8826278961176758,-1.1306750940339914,0.4012297284660897,0.6011625261269078,-0.3051494484321472,0.2624241019855373,0.6421603968282242,-2.1256165129765434,,,,,,,,
2015-03-31,-0.3342730095591155,-0.1272071973250435,0.2454916362511426,-0.272976992181613,-0.3794001599969084,0.3344699141294596,0.4554997505662075,0.1994192987668198,,,,,,,,
2015-04-01,-0.77262669167373,-0.4916809317486353,0.1345059752693514,-0.3268133645032341,-0.5557589135355375,0.2989969710133739,0.2193290260404302,-0.8219009300740238,,,,,,,,
