Date,Open,High,Low,Close,Volume
2014-01-02,149.44127983449258,149.51439348010695,148.22287606801078,148.5802764892578,119636900
2014-01-03,148.83206145951831,149.1326094500334,148.3447074434746,148.55589294433594,81390600
2014-01-06,149.04324944389322,149.10010183124203,147.89794713184767,148.12538146972656,108028200
2014-01-07,148.71835651673857,149.2869424460167,148.60463933088295,149.03514099121094,86144200
2014-01-08,149.01076216755573,149.31942838809132,148.5558934599723,149.067626953125,96582300
2014-01-09,149.54691346757693,149.56316232528582,148.4828425812139,149.16514587402344,90683400
2014-01-10,149.4169254050178,149.636241571947,148.65339033027868,149.57125854492188,102026400
2014-01-13,149.18948155224749,149.6037343797526,147.29689284066546,147.58119201660156,149892000
2014-01-14,148.0685330275179,149.2707002538134,147.7923645002243,149.18946838378906,105016100
2014-01-15,149.53872266746006,150.22102562916058,149.22193826422478,149.99359130859375,98525800
2014-01-16,149.68494310438396,149.9936093168865,149.31942450203445,149.7986602783203,72290600
2014-01-17,149.53879523584595,149.82308207739314,148.90522612191612,149.16514587402344,107848700
2014-01-21,150.02608208158955,150.08294686092412,148.68584318695952,149.60369873046875,88621200
2014-01-22,149.85555078410871,149.920533808118,149.3844331557247,149.7012176513672,61270900
2014-01-23,148.9457573835016,148.9701244611148,147.686750392683,148.47463989257812,132496900
2014-01-24,147.50806302963377,147.55679718908982,145.25807431222364,145.3068084716797,208677100
2014-01-27,145.44488013867925,145.8185293192535,143.86907634997013,144.5919952392578,180843100
2014-01-28,144.69767745866793,145.63991298311987,144.68142859948827,145.45309448242188,110463200
2014-01-29,144.24275715482852,145.03065922192548,143.6741712286358,144.05593872070312,216597300
2014-01-30,145.25810508446915,146.05412544411598,144.79510568306833,145.5830078125,118938100
2014-01-31,143.77973401913408,145.63170638354538,143.70663278233295,144.73008728027344,194677900
2014-02-03,144.55954088258068,144.8844435832325,141.19674711443565,141.47291564941406,254837100
2014-02-04,142.1064211633929,142.82933988478024,141.42411836001926,142.4638214111328,165012400
2014-02-05,141.9683870672494,142.60195595032872,141.0992656073298,142.28517150878906,164230500
2014-02-06,142.61817778169444,144.16148376464844,142.32576047611747,144.16148376464844,132877600
2014-02-07,144.83574234659196,146.10288051916442,144.36462464756568,145.94854736328125,170787200
2014-02-10,145.96475130247214,146.26529929037392,145.56674738530018,146.216552734375,92218800
2014-02-11,146.3384486927629,148.19042181444124,146.24096794292686,147.8167724609375,117814100
2014-02-12,148.03606457014416,148.5071822025876,147.59744464710766,147.88986206054688,94717700
2014-02-13,146.8907586766857,148.8077144782345,146.88264044664004,148.65338134765625,100542200
2014-02-14,148.51524063158766,149.74989281276797,148.37715640782085,149.47372436523438,96498400
2014-02-18,149.60376502383144,149.85557893701667,149.17326325385676,149.6525115966797,80460900
2014-02-19,149.26260088578422,150.22920332796116,148.53968171046424,148.66152954101562,126524300
2014-02-20,148.86452686407438,149.87986300333398,148.32030818074003,149.53871154785156,104998100
2014-02-21,149.8230480799445,150.18044850295777,149.29507806955746,149.36817932128906,118116400
2014-02-24,149.6849218662105,151.20386084418195,149.61993886257525,150.1966552734375,114063900
2014-02-25,150.31853175325892,150.74903342507324,149.64434684975402,150.13983154296875,117085000
2014-02-26,150.35918056515877,150.75719701041643,149.7256114607873,150.1479949951172,98677200
2014-02-27,149.9286035779813,150.97642506512102,149.75802164581225,150.93582153320312,93880800
2014-02-28,150.91144669119706,152.01613298769192,150.3103755848813,151.3175811767578,150842000
2014-03-03,149.9854897391351,150.63530752130063,149.2544524806009,150.2535400390625,167748500
2014-03-04,151.72376362601767,152.69036599029812,151.69127831036937,152.36546325683594,167545900
2014-03-05,152.49540655113404,152.76345684364955,152.25984156941908,152.50352478027344,88376900
2014-03-06,152.87719319966538,153.2020959253982,152.5279109949703,152.85281372070312,82516500
2014-03-07,153.4863839646564,153.4863839646564,152.24360076304183,152.91778564453125,114513500
2014-03-10,152.68221474855062,152.89340024021618,151.9592957877914,152.8365478515625,74939200
2014-03-11,153.06398198683578,153.2832981010413,151.7318612386755,152.0811309814453,99009100
2014-03-12,151.34196333380365,152.17859939736368,151.0007994529475,152.12173461914062,104824400
2014-03-13,152.57657744146192,152.69842520521152,149.9935684539253,150.4159393310547,155014300
2014-03-14,150.14792439631572,150.91957744068466,149.81489114325683,149.99359130859375,153919600
2014-03-17,150.7489988829204,151.70748273614768,150.68401587640997,151.35008239746094,98359500
2014-03-18,151.65878194920833,152.63350247284944,151.49631820006488,152.43043518066406,101804600
2014-03-19,152.4466543379388,152.6578522301574,150.65154661953594,151.61814880371094,176267300
2014-03-20,151.2851211202446,152.61724195943975,151.01707082772913,152.50352478027344,117241000
2014-03-21,153.14396537429047,154.2127321612391,151.77332413110648,151.91201782226562,163128000
2014-03-24,152.43413994768844,152.62179530824648,150.62294329069047,151.28378295898438,121411000
2014-03-25,152.0506429534597,152.515685516138,151.1532113949171,152.00169372558594,103852000
2014-03-26,152.59731952815278,152.84207820646643,150.86771311290505,150.90850830078125,119843000
2014-03-27,150.72905626234072,151.21040722963974,150.03557524583118,150.59036254882812,142383000
2014-03-28,151.02276562177502,152.09153259062748,150.93302116528645,151.33279418945312,101642000
2014-03-31,152.29550379187185,152.80949592751452,151.35727643053576,152.57289123535156,99745000
2014-04-01,153.07051121141726,153.67424760458331,152.5646857556752,153.58450317382812,89193000
2014-04-02,153.7803434007411,154.30248952545946,153.49478948688682,154.09852600097656,78774000
2014-04-03,154.33514810583682,154.37594330842438,153.42139532282644,153.89459228515625,77435000
2014-04-04,154.73490310243366,154.76753179132442,151.8304642822421,152.07521057128906,169381000
2014-04-07,151.70805675676095,151.9609695181776,150.08451517904317,150.39453125,140803000
2014-04-08,150.32929092836065,151.25936422160746,149.78267010635085,151.01461791992188,112660000
2014-04-09,151.4225534722548,152.68711759802994,150.98198520673813,152.63816833496094,100254000
2014-04-10,152.63003230303127,152.70345620630772,149.24422930309717,149.431884765625,172959000
2014-04-11,148.59968549597642,149.64397789015746,147.92252500696185,148.085693359375,167251000
2014-04-14,149.24419860320984,149.60317643287343,148.0285838469679,149.2523651123047,132382000
2014-04-15,149.56237608794905,150.38638422804803,148.08566974438753,150.2803192138672,157093000
2014-04-16,151.31648317822837,151.86310401175075,150.6474767423384,151.85494995117188,105197000
2014-04-17,151.6508899193206,152.49121823540096,151.38981075952034,152.0669708251953,105255000
2014-04-21,152.10784606534082,152.64631277915802,151.92020310105158,152.59735107421875,68329000
2014-04-22,152.75235059892685,153.70689834544774,152.67077266313188,153.2908172607422,85790000
2014-04-23,153.23369816374984,153.31527609114028,152.80945061491127,152.93182373046875,73869000
2014-04-24,153.68240747039755,153.69872803540886,152.50757576845433,153.24185180664062,88170000
2014-04-25,152.7441785083306,152.833922941372,151.64277068908993,151.9854278564453,100380000
2014-04-28,152.60553637674386,153.12768258655205,150.9004040219426,152.4668426513672,135121000
2014-04-29,152.9563363716986,153.41321271526368,152.62999968313687,153.17662048339844,84098000
2014-04-30,152.92369480196047,153.78849815786037,152.71156476821062,153.63348388671875,101508000
2014-05-01,153.56003583842377,154.06586131816823,153.16026290991834,153.6497802734375,93019000
2014-05-02,153.63348317778744,154.31064357289176,153.20108150183276,153.4295196533203,98122000
2014-05-05,152.6788983117806,153.82925529825363,152.25465079817747,153.7231903076172,75883000
2014-05-06,153.3805663577602,153.4866313713509,152.35259470315296,152.38522338867188,85454000
2014-05-07,152.89924709376828,153.35612347928776,151.75704368102183,153.28269958496094,106500000
2014-05-08,153.1439633919595,154.23720478972947,152.62997137630066,153.11947631835938,93618000
2014-05-09,153.1439978750946,153.41321880692746,152.42604219301452,153.34796142578125,83679000
2014-05-12,154.03323962122002,154.91436344614178,153.38055392324713,154.84092712402344,86940000
